Tm,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,4.58,132,5114,4631,604,1217,233,51,147,569,109,26,373,1155,0.263,0.321,0.43,0.752,95,1993,100,42,34,33,35,921
ATL,3.73,132,5055,4510,492,1111,237,23,92,466,59,30,405,999,0.246,0.312,0.37,0.683,85,1670,122,46,53,40,41,941
BAL,4.7,132,4962,4516,621,1176,225,5,208,593,15,10,372,1083,0.26,0.32,0.451,0.77,101,2035,100,35,11,28,17,859
BOS,5.42,132,5153,4636,716,1319,292,23,167,685,71,18,446,948,0.285,0.35,0.465,0.815,111,2158,113,36,5,30,28,951
CHC,5.08,131,5149,4470,666,1153,240,22,166,633,53,30,531,1098,0.258,0.345,0.433,0.778,108,1935,88,80,36,31,39,985
CHW,4.07,131,4940,4461,533,1129,219,26,132,509,62,30,370,1029,0.253,0.315,0.403,0.717,96,1796,105,49,24,36,13,890
CIN,4.48,131,4920,4433,587,1108,222,24,143,551,114,39,372,1059,0.25,0.312,0.408,0.719,89,1807,104,40,42,32,31,792
CLE,4.87,131,5007,4503,638,1190,241,23,163,604,105,27,403,1035,0.264,0.326,0.437,0.763,94,1966,118,34,21,46,10,854
COL,5.3,131,5062,4535,694,1240,260,36,167,661,55,32,420,1066,0.273,0.338,0.457,0.795,94,2073,95,35,44,28,31,891
DET,4.65,132,5018,4540,614,1207,202,25,174,592,51,22,394,1058,0.266,0.328,0.436,0.764,107,1981,112,39,13,32,27,896
HOU,4.56,132,5088,4528,602,1117,243,22,165,576,88,36,467,1200,0.247,0.321,0.419,0.741,103,1899,106,43,24,26,23,905
KCR,4.03,132,4916,4510,532,1182,221,24,117,502,86,27,311,985,0.262,0.313,0.4,0.712,88,1802,113,34,34,27,18,868
LAA,4.46,132,4945,4447,589,1176,224,16,131,564,47,27,381,796,0.264,0.325,0.41,0.736,103,1825,126,41,32,42,17,852
LAD,4.47,131,5003,4473,586,1114,224,16,155,551,37,22,427,1059,0.249,0.32,0.41,0.73,98,1835,101,51,26,26,28,902
MIA,4.14,132,5059,4572,546,1226,222,33,108,522,48,18,376,992,0.268,0.328,0.402,0.73,98,1838,117,43,38,29,28,979
MIL,4.08,132,4958,4338,539,1062,205,14,148,515,147,43,509,1265,0.245,0.326,0.401,0.727,93,1739,105,28,46,34,27,904
MIN,4.54,132,5092,4585,599,1172,243,31,153,573,80,24,413,1120,0.256,0.32,0.422,0.742,100,1936,76,36,20,38,21,924
NYM,3.92,132,4930,4417,518,1072,193,15,177,503,32,16,402,1084,0.243,0.311,0.413,0.724,93,1826,103,47,32,31,29,895
NYY,4.29,131,4907,4434,562,1129,202,17,147,532,60,16,372,952,0.255,0.315,0.407,0.722,91,1806,99,35,16,37,15,884
OAK,3.95,132,4890,4486,521,1110,211,18,141,504,44,19,334,922,0.247,0.302,0.397,0.699,92,1780,115,31,11,28,16,840
PHI,3.72,132,4847,4413,491,1056,190,30,133,463,72,35,331,1078,0.239,0.297,0.386,0.683,82,1705,90,40,37,26,27,828
PIT,4.52,130,5015,4460,588,1140,224,26,123,562,100,40,427,1075,0.256,0.328,0.4,0.729,93,1785,97,69,33,26,31,919
SDP,4.31,131,4884,4407,564,1043,213,20,149,534,109,36,375,1216,0.237,0.301,0.396,0.696,86,1743,81,43,28,29,22,786
SEA,4.62,132,5042,4522,610,1162,201,16,178,584,41,27,404,1033,0.257,0.324,0.427,0.751,105,1929,117,62,19,34,21,877
SFG,4.5,131,5090,4511,589,1178,229,45,109,560,65,29,472,893,0.261,0.333,0.404,0.738,97,1824,105,33,35,35,37,970
STL,4.95,131,5088,4535,649,1168,246,28,188,620,30,21,436,1066,0.258,0.328,0.449,0.777,105,2034,85,55,30,31,26,923
TBR,4.19,131,4889,4416,549,1072,234,27,174,528,48,32,379,1183,0.243,0.309,0.426,0.735,101,1882,68,54,16,23,19,857
TEX,4.67,133,4978,4520,621,1184,201,19,172,606,76,29,349,999,0.262,0.32,0.429,0.749,95,1939,95,55,15,39,20,841
TOR,4.91,132,5092,4500,648,1126,234,18,193,619,41,19,493,1114,0.25,0.329,0.439,0.767,103,1975,117,48,18,32,13,892
WSN,4.83,132,5109,4513,638,1155,221,25,175,615,92,31,452,1005,0.256,0.327,0.432,0.76,100,1951,80,53,37,54,41,911
